Ripartizione_geografica;Ordinatore;Significatività_18vs19;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Anno_new;VALORI;LIVELLO_SUFF
Liguria;4,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;41,20;Non sufficienza
Valle d'Aosta;2,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;41,30;Non sufficienza
Puglia;21,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;41,51;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;41,60;Non sufficienza
Sicilia;25,00;;;;Not Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;41,63;Non sufficienza
Basilicata;23,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;41,73;Sufficienza
Basilicata;23,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;41,75;Non sufficienza
Toscana;13,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;41,77;Non sufficienza
Sicilia;25,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;41,85;Non sufficienza
Sicilia;25,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;41,97;Non sufficienza
Campania;20,00;;;;Not Statistically significant;;;;Grado 10;Italiano;2018-2019;42,08;Non sufficienza
Molise;19,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;42,11;Non sufficienza
Emilia-Romagna;11,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;42,13;Non sufficienza
Friuli-Venezia Giulia;10,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;42,21;Non sufficienza
Umbria;14,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;42,25;Non sufficienza
Calabria;24,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;42,27;Sufficienza
Valle d'Aosta;2,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;42,27;Non sufficienza
Sardegna;26,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;42,49;Non sufficienza
Basilicata;23,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;42,50;Non sufficienza
Sardegna;26,00;;;;;Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;42,53;Sufficienza
Toscana;13,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;42,56;Non sufficienza
Calabria;24,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Matematica;2022-2023;42,67;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;42,67;Non sufficienza
Liguria;4,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;42,73;Non sufficienza
Sardegna;26,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;42,85;Sufficienza
Sicilia;25,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;42,86;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;42,88;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;42,90;Non sufficienza
Campania;20,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;42,95;Sufficienza
Sicilia;25,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;43,02;Non sufficienza
Sicilia;25,00;;;;Not Statistically significant;;;;Grado 10;Italiano;2018-2019;43,16;Non sufficienza
Molise;19,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;43,23;Non sufficienza
Sardegna;26,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;43,24;Non sufficienza
Sardegna;26,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;43,33;Non sufficienza
Sardegna;26,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;43,33;Non sufficienza
Liguria;4,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;43,35;Non sufficienza
Calabria;24,00;;;;Not Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;43,36;Non sufficienza
Molise;19,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;43,61;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;43,66;Non sufficienza
Puglia;21,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;43,77;Sufficienza
Sardegna;26,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;44,06;Non sufficienza
Basilicata;23,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;44,08;Non sufficienza
Molise;19,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;44,28;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;44,35;Non sufficienza
Campania;20,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;44,44;Sufficienza
Sicilia;25,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;44,53;Non sufficienza
Abruzzo;18,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;44,65;Non sufficienza
Puglia;21,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;44,69;Non sufficienza
Puglia;21,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;44,98;Non sufficienza
Molise;19,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;45,17;Non sufficienza
Abruzzo;18,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;45,17;Non sufficienza
Abruzzo;18,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;45,36;Non sufficienza
Puglia;21,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;45,49;Sufficienza
Campania;20,00;;;;Not Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;45,56;Non sufficienza
Sardegna;26,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;45,75;Non sufficienza
Sardegna;26,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;45,76;Non sufficienza
Molise;19,00;;;;;;Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;45,87;Non sufficienza
Umbria;14,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;45,87;Non sufficienza
Calabria;24,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;46,02;Non sufficienza
Campania;20,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;46,04;Non sufficienza
Abruzzo;18,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;46,49;Non sufficienza
Basilicata;23,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;46,52;Sufficienza
Campania;20,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;46,56;Non sufficienza
Calabria;24,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;46,67;Non sufficienza
Lazio;16,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;46,69;Non sufficienza
Puglia;21,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;46,79;Sufficienza
Sardegna;26,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;46,90;Non sufficienza
Basilicata;23,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;46,95;Sufficienza
Calabria;24,00;;;;Not Statistically significant;;;;Grado 10;Italiano;2018-2019;46,97;Non sufficienza
Puglia;21,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;47,15;Sufficienza
Basilicata;23,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;47,31;Non sufficienza
Lazio;16,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;47,41;Sufficienza
Campania;20,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;47,66;Non sufficienza
Puglia;21,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;47,81;Non sufficienza
Sardegna;26,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;47,88;Non sufficienza
Sicilia;25,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;47,91;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;48,03;Non sufficienza
Calabria;24,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;48,09;Sufficienza
Liguria;4,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;48,20;Non sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;48,35;Non sufficienza
Molise;19,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;48,43;Sufficienza
Liguria;4,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;48,48;Non sufficienza
Calabria;24,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;48,89;Non sufficienza
Calabria;24,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;48,95;Non sufficienza
Lazio;16,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;49,02;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;49,05;Sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;49,15;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;49,20;Non sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;49,35;Non sufficienza
Basilicata;23,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;49,41;Non sufficienza
Lazio;16,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;49,61;Non sufficienza
Lazio;16,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;50,39;Sufficienza
Basilicata;23,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;50,59;Sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;50,65;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;50,80;Sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;50,85;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;50,95;Non sufficienza
Lazio;16,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;50,98;Sufficienza
Calabria;24,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;51,05;Sufficienza
Calabria;24,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;51,11;Sufficienza
Liguria;4,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;51,52;Sufficienza
Molise;19,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;51,57;Non sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;51,65;Sufficienza
Liguria;4,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;51,80;Sufficienza
Calabria;24,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;51,91;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;51,97;Sufficienza
Sicilia;25,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;52,09;Sufficienza
Sardegna;26,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;52,12;Sufficienza
Puglia;21,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;52,19;Sufficienza
Campania;20,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;52,34;Sufficienza
Lazio;16,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;52,59;Non sufficienza
Basilicata;23,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;52,69;Sufficienza
Puglia;21,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;52,85;Non sufficienza
Calabria;24,00;;;;Not Statistically significant;;;;Grado 10;Italiano;2018-2019;53,03;Sufficienza
Basilicata;23,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;53,05;Non sufficienza
Sardegna;26,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;53,10;Sufficienza
Puglia;21,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;53,21;Non sufficienza
Lazio;16,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;53,31;Sufficienza
Calabria;24,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;53,33;Sufficienza
Campania;20,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;53,44;Sufficienza
Basilicata;23,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;53,48;Non sufficienza
Abruzzo;18,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;53,51;Sufficienza
Campania;20,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;53,96;Sufficienza
Calabria;24,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;53,98;Sufficienza
Umbria;14,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;54,13;Sufficienza
Molise;19,00;;;;;;Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;54,13;Sufficienza
Sardegna;26,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;54,24;Sufficienza
Sardegna;26,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;54,25;Sufficienza
Campania;20,00;;;;Not Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;54,44;Sufficienza
Puglia;21,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;54,51;Non sufficienza
Abruzzo;18,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;54,64;Sufficienza
Abruzzo;18,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;54,83;Sufficienza
Molise;19,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;54,83;Sufficienza
Puglia;21,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;55,02;Sufficienza
Puglia;21,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;55,31;Sufficienza
Abruzzo;18,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;55,35;Sufficienza
Sicilia;25,00;;;;;;Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;55,47;Sufficienza
Campania;20,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;55,56;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;55,65;Sufficienza
Molise;19,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;55,72;Sufficienza
Basilicata;23,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;55,92;Sufficienza
Sardegna;26,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;55,94;Sufficienza
Puglia;21,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;56,23;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;56,34;Sufficienza
Molise;19,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;56,39;Sufficienza
